index,term,value
828,[geo] Organising the unthinkable in times of crises: Will climate engineering become the weapon of last resort in the Anthropocene?,1
829,[geo] Scenarios towards limiting global mean temperature increase below 1.5 °C,1
830,[geo] New paper on enhanced weathering,1
831,[geo] Sensitivity of the radiative forcing by stratospheric sulfur geoengineering to the amount and strategy of the SO2 injection studied with the LMDZ-S3A model,1
832,[geo] Climate Engineering Newsletter for week 10 of 2018,1
833,[geo] ETC vacancies,1
834,[geo] Mitigation potential of soil carbon management overestimated by neglecting N2O emissions | Nature Climate Change,1
835,"[geo] The role of large - scale BECCS in the pursuit of the 1.5°C target – an Earth system model perspective - Muri, ERL",1
836,[geo] Sulfur deposition changes under sulfate geoengineering conditions: quasi-biennial oscillation effects on the transport and lifetime of stratospheric aerosols,1
837,[geo] Climate Engineering Newsletter for week 09 of 2018,1
838,[geo] Scientists verify theory of the role of the South Pacific in natural atmospheric CO2 fluctuations,1
839,[geo] Changing public perception of SRM environmental technologies over time,1
840,[geo] Nordhaus_2018.pdf,1
841,[geo] Fwd: [CDR] The Carbon Harvest,1
842,[CDR] [geo] China has built the ‘world’s largest air purifier’ to battle smog,1
843,[geo] China has built the ‘world’s largest air purifier’ to battle smog,1
844,"[geo] Fwd: [CDR] ""Silver bullet to suck CO2 from air and halt climate change ruled out""",1
845,"[geo] [CDR] Farming with crops and rocks to address global climate, food and soil security | Nature Plants",1
846,[geo] 20180219_RockDustInFarming_NewsRelease.pdf,1
847,"[geo] Fwd: [CDR] Farming with crops and rocks to address global climate, food and soil security | Nature Plants",1
848,[geo] Climate Engineering Newsletter for week 08 of 2018,1
849,[geo] Irrigation as a geoengineering technique,1
850,"[geo] An Audience with Dr Nathan Myhrvold: How Invention Can Spur Development (London, 22 February)",1
851,Fw: [geo] Federal Budget Bill Includes Massive Tax Credits for Carbon Capture,1
852,[geo] Climeworks establishes new market mechanism to help achieve climate goals,1
853,[geo] The Breakthrough Institute - Geoengineering Justice,1
854,[geo] Regional climate impacts of stabilizing global warming at 1.5 K using solar geoengineering - Jones - 2018 - Earth's Future - Wiley Online Library,1
855,[geo] Climate Engineering Newsletter for week 07 of 2018,1
856,"[geo] ""The Effects of Solar Radiation Management on the Carbon Cycle"" report by Long Cao",1
857,[geo] The High-Energy Planet,1
858,[geo] Fwd: The High-Energy Planet,1
859,[geo] Climate Engineering Newsletter for week 06 of 2018,1
860,[geo] Methane Efficacy,1
861,"[geo] Fwd: [CDR] A Post-Paris Literature Review of Negative Emissions Technology, and Potential for Ireland - DORAS - DCU",1
862,[geo] Climate Impacts From a Removal of Anthropogenic Aerosol Emissions,1
863,[geo] Fwd: [CDR] Large-scale semi-arid afforestation can enhance precipitation and carbon sequestration potential | Scientific Reports,1
864,"[geo] Opportunities and Trade-offs among BECCS and the Food, Water, Energy, Biodiversity, and Social Systems Nexus at Regional Scales",1
865,[geo] Biomass-based negative emissions difficult to reconcile with planetary boundaries,1
866,[geo] The Next Big Volcano Could Briefly Cool Earth. NASA Wants to Be Ready,1
867,[geo] Fwd: [CDR] Potential and costs of carbon dioxide removal by enhanced weathering of rocks,1
868,[geo] Land radiative management as contributor to regional-scale climate adaptation and mitigation | Nature Geoscience,1
869,[geo] Quantifying and comparing effects of climate engineering methods on the Earth system,1
870,"[geo] Perceptions of climate engineering in the South Pacific, Sub-Saharan Africa, and North American Arctic",1
871,[geo] Climate Engineering Newsletter for week 05 of 2018,1
872,[geo] FOR REVIEW Security of SRM geoengineering,1
873,[geo] Chemical sunshade to slow warming may not be feasible: U.N. draft,1
874,[geo] Understanding solar geoengineering's potential to limit sea level rise requires attention from cryosphere experts,1
875,[geo] Fwd: [CDR] AGU CDR Policy Statement,1
876,"Fwd: [geo] Artificially reducing Sun's rays to stop global warming could destroy the world, says study",1
877,[geo] Global mean sea-level rise in a world agreed upon in Paris - IOPscience,1
878,[geo] A Model of Solar Radiation Management Liability,1
879,[geo] Climate Engineering Newsletter for week 04 of 2018,1
880,"[geo] Fwd: [CDR] IEA Greenhouse Gas R&D programme presentation on BECCS as a NET, March 2017",1
881,[geo] NETL solvent technology for CO2 capture | News | gasworld,1
882,[geo] Solar radiation management: a proposal for immediate polycentric governance,1
883,[geo] Existential Risk – Diplomacy and Governance,1
884,[geo] Revised AGU Position Statement Addresses Climate Intervention - Eos,1
885,"[geo] Fwd: [CDR] Federal research, development, and demonstration priorities for carbon dioxide removal in the US",1
886,[geo] CDR/NETs bibliography,1
887,Fw: [geo] Leaked policy draft of SR15 - what do you think?,1
888,[geo] Australia Offers Cash For Saving The Great Barrier Reef,1
889,[geo] Fwd: [CDR] CDR Cost Curve,1
890,[geo] Estimating water–food–ecosystem trade-offs for the global negative emission scenario (IPCC-RCP2.6) | SpringerLink,1
891,[geo] Climate Engineering Newsletter for week 03 of 2018,1
892,"[geo] Geoengineering: neither economical, nor ethical-a risk-reward nexus analysis of carbon dioxide removal",1
893,[geo] Fwd: [CDR] BECCS water–food–ecosystem trade-offs,1
894,[geo] Trivalent Approach Needed to the Effective Geoengineering,1
895,[geo] Thinking outside the box on climate mitigation | EurekAlert! Science News,1
896,[geo] Managing Forest Soils for Carbon Sequestration: Insights From Modeling Forests Around the Globe - Soil Management and Climate Change - Chapter 16,1
897,[geo] Scheme to block glaciers,1
898,"[geo] Fwd: [CDR] AGU Ocean Science meeting, Portland, OR Feb 11-16",1
899,[geo] Fwd: [CDR] Going natural,1
900,[geo] Fwd: [CDR] Fw: Marine Climate Engineering (Not yet published),1
901,[geo] Fwd: [CDR] Wood BE minus CCS,1
902,[geo]  Snowing in the Sahara Desert's Dunes: Is that an opportunity or a threat to Geoengineering Deployment?,1
903,"[geo] International Conference on Negative CO2 Emissions      May 22-24 2018,    Gothenburg, Sweden",1
904,[geo] Stewart Brand interviewed on geoegineering and hubris,1
905,[geo] Funded PhD position | IFSH Hamburg | Anthropocene Security and Geoengineering,1
906,[geo] Tailoring meridional and seasonal radiative forcing by sulfate aerosol solar geoengineering,1
907,"[geo] [CDR] AGU Ocean Science meeting, Portland, OR Feb 11-16",1
908,[geo] Climate Engineering Newsletter for week 02 of 2018,1
909,[geo] Preston (2017) on ethics of geoengineering,1
910,[geo] McNerney NAS bill attached,1
911,[geo] Fwd: [CDR] Optimal Carbon Dioxide Removal in Face of Ocean Carbon Sink Feedback,1
912,[geo] Fwd: [CDR] Open discussion of negative emissions is urgently needed | Nature Energy,1
913,[geo] The Need for Governance of Climate Geoengineering,1
914,"[geo] (paper/responses) Carbon Emissions, Stratospheric Aerosol Injection, and Unintended Harms",1
915,[geo] Fwd: Request for Feedback on Federal Climate Policy,1
916,"[geo] Carbon Dioxide Removal/Negative Emissions Technologies Bibliography   FCEA    October 30, 2017",1
917,[geo] How to spend a dwindling greenhouse gas budget -open source Nature CC 2 Jan 2018,1
918,[geo] Global Thermostat commercial direct air capture plant largest in world,1
919,[geo] Fwd: [Vics.pages] EGU 2018 - Volcanoes and climate session (reminder for abstract submission),1
920,[geo] Climate Engineering Newsletter for week 01 of 2018,1
921,[geo] CEC 2017 Conerence,1
922,[geo] Fwd: [CDR] Unexpectedly large impact of forest management and grazing on global vegetation biomass,1
923,[geo] Climate Engineering Newsletter for week 52 of 2017,1
924,[geo] Vetting New Models of Climate Responses to Geoengineering - Eos,1
925,[geo] Limits on the Space Launch Market Related to Stratospheric Ozone Depletion,1
926,"[geo] Some ethical issues in geoengineering - Morrow, C2G2",1
927,[geo] EASST 2018 - CfP - The politics of negative emissions,1
928,[geo] Electrochemical production of syngas from CO2 captured in switchable polarity solvents - Green Chemistry (RSC Publishing),1
929,[geo] TEDx Talk on MCB and Geoengineering Ethics,1
930,[geo] Capacitance-Assisted Sustainable Electrochemical Carbon Dioxide Mineralisation - Lamb - 2017 - ChemSusChem - Wiley Online Library,1
931,[geo] Simulated effect of carbon cycle feedback on climate response to solar geoengineering - Cao - 2017 - Geophysical Research Letters - Wiley Online Library,1
932,[geo] [CDR] Model-based Assessment of the CO2 Sequestration Potential of Coastal Ocean Alkalinization - Feng - 2017 - Earth's Future - Wiley Online Library,1
933,[geo] Climate Engineering Newsletter for week 51 of 2017,1
934,[geo] Global variation in the cost of increasing ecosystem carbon | Nature Climate Change,1
935,[geo] The political economy of negative emissions technologies consequences for international policy design.pdf,1
936,"[geo] Assistant Professor - Atmospheric Chemistry, Rutgers University–New Brunswick, New Jersey",1
937,[geo] Research priorities for negative emissions,1
938,[geo] Expert assessment concludes negative emissions scenarios may not deliver Vaughan/Gough,1
939,[geo] Reframing the policy approach to greenhouse gas removal technologies - ScienceDirect,1
940,[geo] The Dirty Secret of the Global Plan to Avert Climate Disaster | WIRED,1
941,[geo] Climate Engineering Newsletter for week 50 of 2017,1
942,[geo] Solar geoengineering: Science fiction – or saviour?,1
943,[geo] Dirty secret to avert climate disaster: BECCS,1
944,[geo] Governance of Climate Geoengineering,1
945,[geo] bill proposing NAS study on geoengineering,1
946,[geo] The material that built the modern world is also destroying it. Here’s a fix,1
947,[geo] Who May Geoengineer?: Dirty Hands and Geoengineering | Forum for Climate Engineering,1
948,[geo] We can improve a enzyme to sequester more CO2,1
949,[geo] Carbon Dioxide Removal Workshop October 2017 | Forum for Climate Engineering,1
950,[geo] CDR-bibliography.pdf,1
951,[geo] Fwd: [CDR] Fwd: biochar related - Dr. Joanne Chory - The New Plants That Could Save Us From Climate Change,1
952,[geo] Climate Engineering Newsletter for week 49 of 2017,1
953,[geo] Fwd: [CDR] How Much CO2 Will the World Need to Remove from the Air? - Scientific American,1
954,[geo] New York TImes host streaming climate tech talk,1
955,[geo] Environmental Research Letters - Focus on Negative Emissions Scenarios and Technologies,1
956,[geo] Something for the writers: Climate Fiction Contest,1
957,[geo] Fwd: [CDR] Climate's magic rabbit: Pulling CO2 out of thin air - BBC News,1
958,[geo] Implications of geoengineering for developing countries | Overseas Development Institute (ODI),1
959,[geo] Indirect ocean capture of atmospheric CO2: Part I. Prototype of a negative emissions technology,1
960,[geo] Land-based negative emissions: risks for climate mitigation and impacts on sustainable development | SpringerLink,1
961,[geo] Climate Engineering Newsletter for week 48 of 2017,1
962,"[geo] Dear Mr Zakaria: for solar geoengineering, governance matters",1
963,[geo] ACPD - Quantification of sulfur deposition changes under sulfate geoengineering conditions,1
964,"[geo] Geoengineering the oceans: an emerging frontier in international climate change governance: Australian Journal of Maritime & Ocean Affairs: Vol 0, No 0",1
965,"[geo] Solar geoengineering, uncertainty, and the price of carbon - ScienceDirect",1
966,[geo] Skewed Vulnerabilities and Moral Corruption in Global Perspective...: Ingenta Connect,1
967,[geo] Fwd: [CDR] Climate engineering by enhancement of ocean alkalinity.....,1
968,[geo] Climate Engineering Newsletter for week 47 of 2017,1
969,[geo] Can Carbon-Dioxide Removal Save the World? | The New Yorker,1
970,[geo] The International Conference on Negative CO2 Emissions » 22-24 May 2018,1
971,NOT ocean fertilization for 9% for 36 gton/yr [geo] ocean fertilization,1
972,[geo] Laboratory equipment used to visualise the impact of climate engineering,1
973,Nearing startup per MIT [geo] Allam cycle gas power plant producing pure CO2 & electricity at cost of regular gas power plants,1
974,[geo] Fwd: [CDR] Air Miners is now live!,1
975,[geo] MCB: We can brighten clouds to reflect heat and reduce global warming. But should we?,1
976,[geo] Fwd: [CDR] Fwd: Geoengineering the oceans: an emerging frontier in international climate change governance,1
977,[geo] Developing a national geoengineering strategy for Canada,1
978,[geo] Geoengineering Governance in the News ~ C2G2,1
979,[geo] Climate Engineering Newsletter for week 46 of 2017,1
980,"[geo] Engineering drama, post CEC",1
981,[geo] Xmas,1
982,[geo] Engaging Citizens to Inform Governance of Controversial Research | CSPO,1
983,[geo] Why This Geoengineering Pioneer’s Worst Nightmare Is a Trump Tweet - MIT Technology Review,1
984,[geo] Fwd: Workshop/Webinar on Geologic Sequestration,1
985,[geo] The climate response to stratospheric aerosol geoengineering can be tailored using multiple injection locations - MacMartin - 2017 - Journal of Geophysical Research: Atmospheres - Wiley Online Library,1
986,[geo] Stratospheric Dynamical Response and Ozone Feedbacks in the Presence of SO2 Injections - Richter - 2017 - Journal of Geophysical Research: Atmospheres - Wiley Online Library,1
987,[geo] Sensitivity of aerosol distribution and climate response to stratospheric SO2 injection locations - Tilmes - 2017 - Journal of Geophysical Research: Atmospheres - Wiley Online Library,1
988,[geo] Radiative and chemical response to interactive stratospheric sulfate aerosols in fully coupled CESM1(WACCM) - Mills - 2017 - JGR Atmospheres - Wiley,1
989,[geo] From wrapping glaciers to space mirrors,1
990,[geo] Climate Engineering Newsletter for week 45 of 2017,1
991,[geo] Fwd: [CDR] Fwd: This Week in Carbon Removal | 11.2.17,1
992,[geo] New bibliography for CDR/NETs,1
993,[geo] grl56485.pdf,1
994,[geo] John Nissen,1
995,[geo] new UNEP report discusses carbon removal technologies,1
996,[geo] Solar geoengineering and the chemtrails conspiracy on social media | Palgrave Communications,1
997,[geo] TED Talk on CDR,1
998,[geo] [CDR] Melting snow aids absorption of carbon dioxide,1
999,[geo] C2G2 webinar on geoengineering and biodiversity/Thursday Nov 2,1
1000,[geo] New CDR Googlegroup,1
1001,[geo] Global atmospheric CO2 levels hit record high,1
1002,[geo] Guest post: Who will deliver the negative emissions needed to avoid 2C warming? | Carbon Brief,1
1003,[geo] Political Scene: House panel is nation's first to study 'geoengineering',1
1004,[geo] revised_code_of_conduct_for_geoengineering_research_2017.pdf,1
1005,[geo] Massive volcanic eruption 1257 documentary online,1
